Year,Residential Natural Gas,Commercial Natural Gas,Industrial Natural Gas,Electric Utility Natural Gas,Woody Biomass,Electric Utility Steam Coal,Commercial Electricity,Industrial Electricity,Residential Electricity
2004,13.6048750148677,11.9343229200188,8.2641705904266,8.4160389626856,5.0967849132779,#N/A,28.3730136284207,18.2323526988015,31.0818203150998
2005,15.5717572282764,13.9042304699728,10.4956095963816,10.6304830841855,5.0967849132779,#N/A,29.1709329322912,19.2790594812029,31.7953075213555
2006,16.3319957972042,14.2741405365223,9.3614571685359,10.2416958349547,5.0967849132779,#N/A,30.8785697805451,20.1069756710526,33.9468420420369
2007,15.1556721770207,13.1395506488849,8.8987432965993,9.4549147526368,5.0967849132779,#N/A,30.6825951809912,20.3172832338377,33.8621387230629
2008,15.7835162017650,13.8972212489263,10.9655098162010,10.4314383536503,5.0967849132779,2.2148742453356,31.9923537625415,21.7024154178644,35.1105168972921
2009,13.6914901036182,11.3456664285337,6.0111731674040,7.3081429877632,5.0967849132779,2.3408877437334,31.4429334181984,21.1373263037692,35.6208822483724
2010,12.6911884572505,10.5518485241582,6.1171751211857,6.8860004096407,5.0967849132779,2.3629142410275,31.1566008926718,20.6997240474375,35.2843154368432
2011,12.0414224370184,9.7270239269115,5.6004077154945,6.1462564207084,5.0967849132779,2.4181318326424,30.6760583223766,20.4307341561141,35.1097073767826
2012,11.4159546219290,8.6825570363967,4.1590520124962,5.0701845410070,5.0967849132779,2.3501923436687,29.6791261863188,19.6194025433842,34.9443031807203
2013,10.8866283677104,8.5236392646415,4.8947631420714,5.1479405459716,5.0967849132779,2.2749877363600,29.7001319888901,19.9448254779194,35.1133139400816
2014,11.3684694849469,9.2232797097564,5.8241384234641,5.9174075441246,5.0967849132779,2.2671813119268,30.5419647943227,20.1906843612376,35.6038546764358
2015,9.7183315387998,7.6085885488543,3.5390282601113,4.3672641892083,5.0967849132779,2.0920368648073,29.9322119221831,19.4390586825456,35.5866993247759
