Year,Value
1992,80.2807913209955
1993,81.1742182514359
1994,82.9610721123165
1995,91.5124441608169
1996,93.0440331844289
1997,93.8736439055520
1998,94.8947032546267
1999,95.5328653477983
2000,100.0000000000000
2001,101.0848755583920
2002,100.3828972559030
2003,105.0414805360560
2004,110.2744097000640
2005,119.5277600510530
2006,125.5902999361840
2007,129.7383535418000
2008,145.6285896617740
2009,143.3950223356730
2010,149.1384811742180
2011,160.8806636885770
2012,166.1135928525850
2013,168.4109763880030
2014,171.7932354818120
2015,168.9853222718570
2016,170.4530950861520
2017,177.1390587609680
2018,185.1582026056900
2019,186.3759638394040
2020,184.4137197553840
2021,205.9549056102100
