Year,Value
1992,13.7000000000000 
1993,13.9700000000000 
1994,14.3300000000000 
1995,14.8600000000000 
1996,15.3700000000000 
1997,15.7800000000000 
1998,16.2300000000000 
1999,16.4000000000000 
2000,17.0900000000000 
2001,17.5700000000000 
2002,17.9700000000000 
2003,18.5000000000000 
2004,19.1700000000000 
2005,19.6700000000000 
2006,19.6000000000000 
2007,19.5500000000000 
2008,19.5000000000000 
2009,20.3000000000000 
2010,21.0700000000000 
2011,21.4500000000000 
2012,21.4500000000000 
2013,21.4000000000000 
2014,21.4883333333333 
2015,21.7550000000000 
2016,22.7150000000000 
